"","t","choice_slot","r","participant"
"1",1,"yellow",0,14
"2",2,"yellow",0,14
"3",3,"red",1,14
"4",4,"red",1,14
"5",5,"red",1,14
"6",6,"yellow",0,14
"7",7,"red",1,14
"8",8,"red",1,14
"9",9,"red",0,14
"10",10,"red",1,14
"11",11,"red",1,14
"12",12,"red",1,14
"13",13,"red",1,14
"14",14,"red",1,14
"15",15,"red",1,14
"16",16,"red",0,14
"17",17,"yellow",0,14
"18",18,"yellow",0,14
"19",19,"red",0,14
"20",20,"yellow",1,14
"21",21,"yellow",0,14
"22",22,"red",0,14
"23",23,"red",1,14
"24",24,"red",1,14
"25",25,"red",1,14
"26",26,"red",1,14
"27",27,"red",0,14
"28",28,"yellow",0,14
"29",29,"red",1,14
"30",30,"red",0,14
"31",31,"red",1,14
"32",32,"red",1,14
"33",33,"red",1,14
"34",34,"red",1,14
"35",35,"red",1,14
"36",36,"red",1,14
"37",37,"red",1,14
"38",38,"red",1,14
"39",39,"red",1,14
"40",40,"red",0,14
"41",41,"red",1,14
"42",42,"red",1,14
"43",43,"red",1,14
"44",44,"red",0,14
"45",45,"red",1,14
"46",46,"red",1,14
"47",47,"red",1,14
"48",48,"red",0,14
"49",49,"red",0,14
"50",50,"red",1,14
"51",51,"red",0,14
"52",52,"red",1,14
"53",53,"red",0,14
"54",54,"red",0,14
"55",55,"red",1,14
"56",56,"red",1,14
"57",57,"red",1,14
"58",58,"red",1,14
"59",59,"red",1,14
"60",60,"red",1,14
"61",61,"red",0,14
"62",62,"yellow",0,14
"63",63,"red",1,14
"64",64,"red",0,14
"65",65,"red",1,14
"66",66,"red",1,14
"67",67,"red",1,14
"68",68,"red",0,14
"69",69,"red",0,14
"70",70,"yellow",0,14
"71",71,"red",1,14
"72",72,"yellow",1,14
"73",73,"red",0,14
"74",74,"yellow",0,14
"75",75,"yellow",0,14
"76",76,"red",1,14
"77",77,"red",1,14
"78",78,"red",0,14
"79",79,"red",1,14
"80",80,"yellow",1,14
"81",81,"yellow",1,14
"82",82,"yellow",0,14
"83",83,"red",1,14
"84",84,"red",1,14
"85",85,"yellow",1,14
"86",86,"red",0,14
"87",87,"yellow",0,14
"88",88,"yellow",1,14
"89",89,"yellow",0,14
"90",90,"red",0,14
"91",91,"red",1,14
"92",92,"yellow",0,14
"93",93,"yellow",1,14
"94",94,"yellow",0,14
"95",95,"red",0,14
"96",96,"red",0,14
"97",97,"red",1,14
"98",98,"red",1,14
"99",99,"red",0,14
"100",100,"red",1,14
"101",101,"red",0,14
"102",102,"yellow",1,14
"103",103,"red",1,14
"104",104,"yellow",0,14
"105",105,"red",0,14
"106",106,"yellow",0,14
"107",107,"red",1,14
"108",108,"red",1,14
"109",109,"red",0,14
"110",110,"red",1,14
"111",111,"red",1,14
"112",112,"red",1,14
"113",113,"red",1,14
"114",114,"red",0,14
"115",115,"yellow",0,14
"116",116,"red",1,14
"117",117,"red",1,14
"118",118,"red",1,14
"119",119,"red",1,14
"120",120,"red",1,14
"121",121,"red",0,14
"122",122,"yellow",0,14
"123",123,"red",1,14
"124",124,"red",1,14
"125",125,"yellow",0,14
"126",126,"red",0,14
"127",127,"red",0,14
"128",128,"red",1,14
"129",129,"red",1,14
"130",130,"red",0,14
"131",131,"red",1,14
"132",132,"red",0,14
"133",133,"yellow",0,14
"134",134,"yellow",0,14
"135",135,"red",1,14
"136",136,"red",1,14
"137",137,"red",1,14
"138",138,"red",1,14
"139",139,"red",1,14
"140",140,"red",1,14
"141",141,"red",0,14
"142",142,"red",1,14
"143",143,"red",1,14
"144",144,"red",1,14
"145",145,"red",1,14
"146",146,"red",1,14
"147",147,"red",0,14
"148",148,"yellow",0,14
"149",149,"red",1,14
"150",150,"red",0,14
"151",151,"red",1,14
"152",152,"red",1,14
"153",153,"yellow",0,14
"154",154,"red",1,14
"155",155,"red",1,14
"156",156,"red",1,14
"157",157,"red",1,14
"158",158,"red",1,14
"159",159,"red",0,14
"160",160,"red",1,14
"161",161,"red",0,14
"162",162,"yellow",0,14
"163",163,"red",1,14
"164",164,"red",1,14
"165",165,"red",1,14
"166",166,"red",1,14
"167",167,"red",0,14
"168",168,"red",0,14
"169",169,"red",1,14
"170",170,"red",1,14
"171",171,"red",1,14
"172",172,"red",1,14
"173",173,"red",1,14
"174",174,"red",1,14
"175",175,"yellow",1,14
"176",176,"red",1,14
"177",177,"red",1,14
"178",178,"red",1,14
"179",179,"red",1,14
"180",180,"red",1,14
"181",181,"red",1,14
"182",182,"red",1,14
"183",183,"red",1,14
"184",184,"red",0,14
"185",185,"red",0,14
"186",186,"yellow",0,14
"187",187,"yellow",0,14
"188",188,"yellow",0,14
"189",189,"red",1,14
"190",190,"red",0,14
"191",191,"red",1,14
"192",192,"red",1,14
"193",193,"red",0,14
"194",194,"red",1,14
"195",195,"red",1,14
"196",196,"red",1,14
"197",197,"red",1,14
"198",198,"red",1,14
"199",199,"red",1,14
"200",200,"red",0,14
"201",201,"yellow",0,14
"202",202,"red",1,14
"203",203,"red",1,14
"204",204,"red",0,14
"205",205,"red",1,14
"206",206,"red",1,14
"207",207,"red",0,14
"208",208,"yellow",0,14
"209",209,"yellow",0,14
"210",210,"yellow",1,14
"211",211,"yellow",0,14
"212",212,"red",1,14
"213",213,"red",0,14
"214",214,"red",1,14
"215",215,"red",0,14
"216",216,"red",1,14
"217",217,"red",0,14
"218",218,"red",1,14
"219",219,"red",1,14
"220",220,"yellow",1,14
"221",221,"red",1,14
"222",222,"yellow",0,14
"223",223,"yellow",1,14
"224",224,"yellow",0,14
"225",225,"red",1,14
"226",226,"red",1,14
"227",227,"red",1,14
"228",228,"red",1,14
"229",229,"red",1,14
"230",230,"red",1,14
"231",231,"red",1,14
"232",232,"red",1,14
"233",233,"red",1,14
"234",234,"red",1,14
"235",235,"red",1,14
"236",236,"red",0,14
"237",237,"red",0,14
"238",238,"yellow",0,14
"239",239,"red",1,14
"240",240,"red",1,14
"241",241,"red",0,14
"242",242,"red",1,14
"243",243,"red",0,14
"244",244,"yellow",1,14
"245",245,"yellow",1,14
"246",246,"yellow",0,14
"247",247,"yellow",1,14
"248",248,"yellow",0,14
"249",249,"red",1,14
"250",250,"red",1,14
"251",251,"red",1,14
"252",252,"red",1,14
"253",253,"red",1,14
"254",254,"red",0,14
"255",255,"yellow",0,14
"256",256,"yellow",1,14
"257",257,"yellow",1,14
"258",258,"yellow",0,14
"259",259,"red",0,14
"260",260,"yellow",1,14
"261",261,"yellow",0,14
"262",262,"red",1,14
"263",263,"red",1,14
"264",264,"yellow",0,14
"265",265,"red",0,14
"266",266,"yellow",0,14
"267",267,"red",1,14
"268",268,"red",1,14
"269",269,"red",1,14
"270",270,"red",0,14
"271",271,"red",1,14
"272",272,"red",1,14
"273",273,"red",1,14
"274",274,"red",1,14
"275",275,"red",1,14
"276",276,"red",0,14
"277",277,"red",1,14
"278",278,"red",1,14
"279",279,"red",0,14
"280",280,"red",0,14
"281",281,"red",1,14
"282",282,"red",0,14
"283",283,"red",1,14
"284",284,"red",0,14
"285",285,"yellow",1,14
"286",286,"red",1,14
"287",287,"red",1,14
"288",288,"yellow",0,14
"289",289,"red",1,14
"290",290,"red",1,14
"291",291,"red",0,14
"292",292,"yellow",0,14
"293",293,"yellow",0,14
"294",294,"red",1,14
"295",295,"red",1,14
"296",296,"red",1,14
"297",297,"red",1,14
"298",298,"red",1,14
"299",299,"red",1,14
"300",300,"red",1,14
"301",NA,NA,NA,14
